,TRADE DATE,INSTRUMENT SERIES CODE,CLOSING SESSION PRICE
11611,2018-10-04,EREGL.E,11.07
11612,2018-10-12,EREGL.E,10.95
11613,2018-10-19,EREGL.E,10.21
11614,2018-10-03,EREGL.E,10.98
11615,2018-10-02,EREGL.E,11.17
11616,2018-10-01,EREGL.E,11.02
11617,2018-10-31,EREGL.E,9.06
11618,2018-10-30,EREGL.E,8.73
11619,2018-10-26,EREGL.E,8.99
11620,2018-10-05,EREGL.E,11.14
11621,2018-10-25,EREGL.E,9.56
11622,2018-10-23,EREGL.E,9.85
11623,2018-10-08,EREGL.E,11.03
11624,2018-10-24,EREGL.E,9.35
11625,2018-10-22,EREGL.E,9.85
11626,2018-10-11,EREGL.E,10.65
11627,2018-10-09,EREGL.E,11.18
11628,2018-10-18,EREGL.E,10.3
11629,2018-10-10,EREGL.E,10.76
11630,2018-10-17,EREGL.E,10.58
11631,2018-10-15,EREGL.E,10.99
11632,2018-10-16,EREGL.E,10.89
11403,2018-11-19,EREGL.E,8.76
11404,2018-11-20,EREGL.E,8.23
11405,2018-11-08,EREGL.E,9.0
11406,2018-11-21,EREGL.E,8.31
11407,2018-11-12,EREGL.E,8.68
11408,2018-11-29,EREGL.E,7.54
11409,2018-11-13,EREGL.E,8.8
11410,2018-11-16,EREGL.E,8.85
11411,2018-11-01,EREGL.E,8.83
11412,2018-11-22,EREGL.E,8.22
11413,2018-11-05,EREGL.E,9.47
11414,2018-11-06,EREGL.E,9.31
11415,2018-11-15,EREGL.E,8.82
11416,2018-11-23,EREGL.E,8.14
11417,2018-11-07,EREGL.E,9.15
11418,2018-11-09,EREGL.E,9.1
11419,2018-11-14,EREGL.E,9.03
11420,2018-11-26,EREGL.E,8.03
11421,2018-11-28,EREGL.E,7.76
11422,2018-11-02,EREGL.E,9.37
11423,2018-11-30,EREGL.E,7.59
11424,2018-11-27,EREGL.E,7.72
11177,2018-12-11,EREGL.E,7.41
11178,2018-12-12,EREGL.E,7.36
11179,2018-12-14,EREGL.E,7.54
11180,2018-12-13,EREGL.E,7.76
11181,2018-12-07,EREGL.E,7.83
11182,2018-12-21,EREGL.E,7.42
11183,2018-12-03,EREGL.E,8.13
11184,2018-12-24,EREGL.E,7.42
11185,2018-12-26,EREGL.E,7.27
11186,2018-12-28,EREGL.E,7.11
11187,2018-12-25,EREGL.E,7.32
11188,2018-12-06,EREGL.E,7.8
11189,2018-12-27,EREGL.E,7.11
11190,2018-12-19,EREGL.E,7.64
11191,2018-12-10,EREGL.E,7.43
11192,2018-12-18,EREGL.E,7.48
11193,2018-12-05,EREGL.E,8.23
11194,2018-12-17,EREGL.E,7.51
11195,2018-12-20,EREGL.E,7.44
11196,2018-12-04,EREGL.E,7.89
11197,2018-12-31,EREGL.E,7.22
11682,2019-01-30,EREGL.E,8.43
11683,2019-01-09,EREGL.E,7.65
11684,2019-01-17,EREGL.E,7.44
11685,2019-01-23,EREGL.E,8.39
11686,2019-01-29,EREGL.E,8.61
11687,2019-01-14,EREGL.E,7.5
11688,2019-01-28,EREGL.E,8.23
11689,2019-01-16,EREGL.E,7.4
11690,2019-01-24,EREGL.E,8.51
11691,2019-01-22,EREGL.E,8.45
11692,2019-01-11,EREGL.E,7.4
11693,2019-01-03,EREGL.E,7.07
