Date,Open,High,Low,Close*,Adj Close**,Volume
2023-09-25,705,725,690,715,715,"1,785"
2023-09-18,706,710,704,705,705,203
2023-09-11,721,723,704,704,704,354
2023-09-04,710,730,709,720,720,478
2023-08-28,801,801,708,720,720,"1,003"
2023-08-21,810,810,800,803,803,115
2023-08-14,803,815,800,807,807,93
2023-08-07,805,812,792,806,806,541
2023-07-31,832,832,795,803,803,668
2023-07-24,858,858,819,824,824,"1,904"
2023-07-17,892,894,858,858,858,132
2023-07-10,901,908,894,897,897,130
2023-07-03,860,910,860,905,905,531
2023-06-26,910,910,865,881,881,"1,240"
2023-06-19,926,930,910,910,910,256
2023-06-12,927,931,922,927,927,183
2023-06-05,942,948,927,928,928,"1,306"
2023-05-29,"1,099.00","1,099.00",930,940,940,"1,186"
2023-05-22,"1,090.00","1,099.00","1,086.00","1,099.00","1,099.00",88
2023-05-15,"1,095.00","1,101.00","1,092.00","1,094.00","1,094.00",70
2023-05-08,"1,108.00","1,108.00","1,089.00","1,096.00","1,096.00",459
2023-05-01,"1,070.00","1,118.00","1,070.00","1,101.00","1,101.00",572
2023-04-24,"1,177.00","1,177.00","1,065.00","1,069.00","1,069.00",736
2023-04-17,"1,174.00","1,180.00","1,174.00","1,178.00","1,178.00",120
2023-04-10,"1,166.00","1,185.00","1,161.00","1,175.00","1,175.00",280
2023-04-03,"1,151.00","1,200.00","1,150.00","1,166.00","1,166.00",642
2023-03-27,"1,061.00","1,181.00","1,036.00","1,164.00","1,164.00",566
2023-03-20,"1,072.00","1,072.00","1,055.00","1,057.00","1,057.00",27
2023-03-13,"1,057.00","1,075.00","1,055.00","1,056.00","1,056.00",255
2023-03-06,"1,060.00","1,075.00","1,042.00","1,056.00","1,056.00",182
2023-02-27,"1,020.00","1,070.00","1,002.00","1,050.00","1,050.00",583
2023-02-20,800,"1,030.00",787,"1,020.00","1,020.00","2,011"
2023-02-13,803,806,798,798,798,335
2023-02-06,790,805,788,798,798,319
2023-01-30,783,798,783,797,797,347
2023-01-23,715,782,705,775,775,893
2023-01-16,723,730,712,715,715,312
2023-01-09,730,735,713,725,725,"1,177"
2023-01-02,744,744,717,730,730,361
2022-12-26,663,750,650,744,744,324
2022-12-19,668,679,658,661,661,178
2022-12-12,660,679,658,675,675,370
2022-12-05,674,685,650,667,667,628
2022-11-28,655,675,645,672,672,977
2022-11-21,663,665,655,656,656,203
2022-11-14,665,677,657,663,663,238
2022-11-07,670,675,658,662,662,266
2022-10-31,696,713,665,678,678,"1,351"
2022-10-24,758,763,682,710,710,"1,502"
2022-10-17,752,762,750,762,762,518
2022-10-10,746,753,736,751,751,214
2022-10-03,770,790,730,748,748,406
2022-09-26,798,804,770,776,776,946
2022-09-19,795,813,787,802,802,296
2022-09-12,815,815,786,789,789,504
2022-09-05,790,820,772,818,818,522
2022-08-29,794,820,765,780,780,"1,466"
2022-08-22,786,802,784,794,794,107
2022-08-15,809,809,786,787,787,260
2022-08-08,815,830,810,812,812,540
2022-08-01,848,848,812,818,818,"1,164"
2022-07-25,923,923,842,855,855,"1,359"
2022-07-18,915,929,914,923,923,239
2022-07-11,910,925,910,915,915,286
2022-07-04,926,930,910,917,917,679
2022-06-27,"1,126.00","1,127.00",928,930,930,343
2022-06-20,"1,127.00","1,132.00","1,118.00","1,127.00","1,127.00",290
2022-06-13,"1,145.00","1,150.00","1,125.00","1,126.00","1,126.00",261
2022-06-06,"1,155.00","1,160.00","1,146.00","1,160.00","1,160.00",292
2022-05-30,"1,181.00","1,209.00","1,150.00","1,155.00","1,155.00",174
2022-05-23,"1,385.00","1,385.00","1,190.00","1,195.00","1,195.00",147
2022-05-16,"1,382.00","1,394.00","1,375.00","1,385.00","1,385.00",69
2022-05-09,"1,360.00","1,390.00","1,351.00","1,382.00","1,382.00",626
2022-05-02,"1,400.00","1,400.00","1,350.00","1,378.00","1,378.00","1,056"
2022-04-25,"1,466.00","1,467.00","1,376.00","1,400.00","1,400.00",889
2022-04-18,"1,481.00","1,481.00","1,462.00","1,465.00","1,465.00",152
2022-04-11,"1,460.00","1,490.00","1,460.00","1,479.00","1,479.00",125
2022-04-04,"1,540.00","1,570.00","1,480.00","1,490.00","1,490.00","1,791"
2022-03-28,"1,120.00","1,550.00","1,115.00","1,540.00","1,540.00",608
2022-03-21,"1,134.00","1,150.00","1,091.00","1,123.00","1,123.00",280
2022-03-14,"1,125.00","1,140.00","1,090.00","1,134.00","1,134.00",349
2022-03-07,"1,200.00","1,228.00","1,035.00","1,125.00","1,125.00",510
2022-02-28,"1,030.00","1,205.00","1,030.00","1,175.00","1,175.00","1,521"
2022-02-21,"1,120.00","1,120.00",990,"1,010.00","1,010.00",867
2022-02-14,"1,130.00","1,131.00","1,112.00","1,117.00","1,117.00",604
2022-02-07,"1,190.00","1,190.00","1,125.00","1,131.00","1,131.00","1,092"
2022-01-31,"1,160.00","1,200.00","1,160.00","1,190.00","1,190.00",566
2022-01-24,"1,430.00","1,430.00","1,150.00","1,170.00","1,170.00","1,606"
2022-01-17,"1,432.00","1,438.00","1,420.00","1,425.00","1,425.00",336
2022-01-10,"1,415.00","1,440.00","1,400.00","1,437.00","1,437.00",586
2022-01-03,"1,435.00","1,440.00","1,405.00","1,415.00","1,415.00","1,425"
2021-12-27,"1,610.00","1,616.00","1,426.00","1,435.00","1,435.00",293
2021-12-20,"1,639.00","1,643.00","1,605.00","1,616.00","1,616.00","1,140"
2021-12-13,"1,610.00","1,649.00","1,605.00","1,647.00","1,647.00",447
2021-12-06,"1,603.00","1,620.00","1,603.00","1,606.00","1,606.00",540
2021-11-29,"1,619.00","1,625.00","1,584.00","1,615.00","1,615.00","1,557"
2021-11-22,"1,802.00","1,805.00","1,600.00","1,605.00","1,605.00",457
2021-11-15,"1,810.00","1,810.00","1,795.00","1,800.00","1,800.00",195
2021-11-08,"1,804.00","1,815.00","1,800.00","1,812.00","1,812.00",125
2021-11-01,"1,789.00","1,800.00","1,765.00","1,790.00","1,790.00",482
2021-10-25,"1,904.00","1,911.00","1,775.00","1,803.00","1,803.00",707
2021-10-18,"1,893.00","1,905.00","1,891.00","1,904.00","1,904.00",598
2021-10-11,"1,904.00","1,906.00","1,894.00","1,898.00","1,898.00",146
2021-10-04,"1,918.00","1,930.00","1,878.00","1,882.00","1,882.00",234
2021-09-27,"1,935.00","1,936.00","1,895.00","1,916.00","1,916.00",358
2021-09-20,"1,915.00","1,937.00","1,915.00","1,933.00","1,933.00",68
2021-09-13,"1,925.00","1,938.00","1,915.00","1,936.00","1,936.00",516
2021-09-06,"1,926.00","1,937.00","1,920.00","1,927.00","1,927.00",114
2021-08-30,"1,939.00","1,945.00","1,916.00","1,941.00","1,941.00",123
2021-08-23,"1,884.00","1,942.00","1,881.00","1,941.00","1,941.00",185
2021-08-16,"1,895.00","1,895.00","1,880.00","1,880.00","1,880.00",142
2021-08-09,"1,885.00","1,895.00","1,880.00","1,880.00","1,880.00",53
2021-08-02,"1,888.00","1,888.00","1,829.00","1,885.00","1,885.00",71
2021-07-26,"1,780.00","1,900.00","1,780.00","1,888.00","1,888.00","1,295"
2021-07-19,"1,775.00","1,780.00","1,775.00","1,780.00","1,780.00",19
2021-07-12,"1,790.00","1,792.00","1,780.00","1,780.00","1,780.00",134
2021-07-05,"1,805.00","1,805.00","1,778.00","1,790.00","1,790.00",624
